id,date,amount,category,description
1,2026-05-31,2500.0,food,rice and stew
3,2026-05-31,500.0,transport,bus to school
4,2026-05-31,1200.0,data,MTN data bundle
5,2026-05-31,3500.0,food,suya and drinks
6,2026-05-31,800.0,transport,uber to VI
7,2026-05-31,5000.0,rent,monthly contribution
8,2026-05-31,2000.0,data,Airtel 10GB
9,2026-05-31,1500.0,food,shawarma
10,2026-05-31,600.0,transport,keke napep
11,2026-05-31,4000.0,entertainment,cinema ticket
12,2026-05-31,1000.0,food,indomie and egg
13,2026-05-28,3000.0,food,beans and plantain
14,2026-05-29,1500.0,transport,danfo
